iter	Passed	Remaining
0	142	142740
1	143	71584
2	144	47867
3	144	36006
4	145	28886
5	145	24139
6	146	20770
7	147	18256
8	147	16282
9	148	14702
10	149	13409
11	149	12326
12	150	11410
13	150	10625
14	151	9949
15	152	9358
16	152	8832
17	153	8364
18	153	7946
19	154	7568
20	155	7227
21	155	6916
22	156	6633
23	156	6373
24	157	6138
25	158	5921
26	158	5719
27	159	5529
28	159	5355
29	160	5189
30	161	5039
31	161	4896
32	162	4766
33	163	4640
34	164	4524
35	164	4413
36	165	4307
37	166	4205
38	166	4107
39	167	4015
40	167	3927
41	168	3841
42	169	3762
43	169	3686
44	170	3614
45	170	3544
46	171	3477
47	172	3413
48	172	3350
49	173	3291
50	173	3234
51	174	3179
52	175	3127
53	175	3077
54	176	3030
55	176	2983
56	177	2937
57	178	2892
58	178	2849
59	179	2807
60	179	2766
61	180	2735
62	181	2700
63	182	2664
64	182	2629
65	183	2594
66	183	2561
67	184	2528
68	184	2496
69	185	2465
70	186	2435
71	186	2406
72	187	2377
73	187	2350
74	188	2323
75	188	2297
76	189	2272
77	190	2247
78	190	2223
79	191	2199
80	191	2176
81	192	2153
82	192	2130
83	193	2110
84	194	2089
85	194	2070
86	195	2051
87	196	2031
88	196	2013
89	197	1996
90	198	1977
91	198	1960
92	199	1943
93	199	1927
94	200	1910
95	201	1893
96	201	1877
97	202	1861
98	202	1845
99	203	1830
100	203	1815
101	204	1800
102	205	1785
103	205	1773
104	206	1760
105	207	1746
106	207	1733
107	208	1719
108	208	1706
109	209	1693
110	209	1680
111	210	1668
112	210	1655
113	211	1645
114	212	1634
115	212	1623
116	213	1610
117	213	1599
118	214	1588
119	215	1577
120	215	1566
121	216	1554
122	216	1544
123	217	1534
124	217	1524
125	218	1515
126	218	1504
127	219	1495
128	220	1486
129	220	1477
130	221	1468
131	221	1458
132	222	1450
133	223	1441
134	223	1432
135	224	1424
136	224	1416
137	225	1407
138	225	1399
139	226	1391
140	227	1383
141	227	1374
142	227	1366
143	228	1358
144	229	1350
145	229	1342
146	230	1335
147	230	1328
148	231	1321
149	231	1314
150	232	1307
151	232	1299
152	233	1292
153	234	1285
154	234	1278
155	235	1272
156	235	1266
157	236	1260
158	237	1255
159	237	1249
160	238	1241
161	238	1235
162	239	1229
163	239	1222
164	240	1216
165	240	1210
166	241	1204
167	242	1199
168	242	1193
169	243	1188
170	243	1182
171	244	1177
172	245	1171
173	245	1165
174	246	1160
175	246	1154
176	247	1149
177	247	1144
178	248	1140
179	249	1135
180	249	1130
181	250	1125
182	250	1120
183	251	1115
184	252	1110
185	252	1105
186	253	1100
187	253	1095
188	254	1090
189	254	1086
190	255	1081
191	255	1077
192	256	1072
193	257	1067
194	257	1063
195	258	1058
196	258	1054
197	259	1050
198	259	1045
199	260	1041
200	260	1037
201	261	1033
202	262	1029
203	262	1025
204	263	1021
205	264	1017
206	264	1013
207	265	1009
208	265	1005
209	266	1001
210	267	998
211	267	994
212	268	991
213	268	987
214	269	983
215	269	979
216	270	975
217	270	972
218	271	968
219	272	964
220	272	960
221	273	957
222	273	954
223	274	950
224	275	947
225	275	943
226	276	940
227	276	936
228	277	933
229	277	930
230	278	926
231	278	923
232	279	921
233	280	917
234	280	914
235	281	911
236	281	907
237	282	904
238	283	901
239	283	897
240	284	894
241	284	891
242	285	888
243	285	885
244	286	882
245	286	879
246	287	876
247	288	873
248	288	870
249	289	867
250	289	864
251	290	861
252	291	859
253	291	856
254	292	854
255	292	851
256	293	848
257	294	845
258	294	842
259	295	839
260	295	837
261	296	834
262	296	831
263	297	828
264	297	826
265	298	823
266	299	821
267	299	818
268	300	815
269	300	813
270	301	810
271	301	807
272	302	805
273	302	802
274	303	800
275	304	798
276	304	796
277	305	794
278	306	791
279	307	789
280	307	787
281	308	784
282	308	782
283	309	780
284	310	778
285	310	776
286	311	773
287	311	771
288	312	768
289	313	766
290	313	764
291	314	761
292	314	759
293	315	756
294	315	754
295	316	753
296	317	750
297	317	748
298	318	746
299	318	744
300	319	741
301	320	739
302	320	737
303	321	735
304	321	733
305	322	731
306	323	729
307	323	727
308	324	724
309	324	722
310	325	720
311	326	718
312	326	716
313	327	714
314	327	712
315	328	710
316	328	708
317	329	706
318	330	704
319	330	702
320	331	700
321	331	698
322	332	696
323	332	694
324	333	692
325	334	690
326	334	689
327	335	687
328	336	685
329	336	683
330	337	681
331	337	679
332	338	677
333	338	675
334	339	674
335	340	672
336	341	671
337	341	669
338	342	667
339	342	665
340	343	663
341	343	661
342	344	659
343	345	658
344	345	656
345	346	654
346	346	652
347	347	651
348	348	649
349	348	647
350	349	645
351	349	644
352	350	642
353	351	640
354	351	638
355	352	637
356	352	635
357	353	634
358	354	632
359	354	630
360	355	628
361	355	627
362	356	625
363	356	623
364	357	621
365	357	620
366	359	619
367	359	618
368	360	616
369	361	614
370	361	613
371	362	611
372	362	609
373	363	608
374	363	606
375	364	604
376	365	603
377	365	601
378	366	600
379	366	598
380	367	596
381	367	595
382	368	593
383	368	591
384	369	590
385	370	588
386	370	587
387	371	585
388	371	584
389	372	582
390	372	580
391	373	579
392	374	577
393	374	576
394	375	574
395	376	573
396	376	572
397	377	570
398	377	569
399	378	567
400	379	566
401	379	564
402	380	563
403	380	561
404	381	560
405	381	558
406	382	557
407	383	555
408	383	554
409	384	553
410	384	551
411	385	550
412	386	548
413	386	547
414	387	545
415	387	544
416	388	543
417	389	542
418	389	540
419	390	539
420	391	537
421	391	536
422	392	535
423	392	533
424	393	532
425	393	530
426	394	529
427	395	527
428	395	526
429	396	525
430	396	523
431	397	522
432	397	521
433	398	519
434	399	518
435	399	516
436	400	515
437	400	514
438	401	512
439	401	511
440	402	510
441	403	508
442	403	507
443	404	506
444	404	504
445	405	503
446	405	502
447	406	500
448	406	499
449	407	498
450	408	496
451	408	495
452	409	494
453	409	492
454	410	491
455	410	490
456	411	488
457	412	487
458	412	486
459	413	484
460	413	483
461	414	482
462	415	481
463	415	480
464	416	479
465	416	477
466	417	476
467	417	475
468	418	473
469	419	472
470	419	471
471	420	470
472	420	468
473	421	467
474	421	466
475	422	465
476	423	463
477	423	462
478	424	461
479	424	460
480	425	458
481	426	457
482	426	456
483	427	455
484	428	454
485	428	453
486	429	452
487	429	450
488	430	449
489	430	448
490	431	447
491	431	445
492	432	444
493	433	443
494	433	442
495	434	441
496	434	440
497	435	438
498	435	437
499	436	436
500	436	435
501	437	433
502	438	433
503	438	431
504	439	430
505	439	429
506	440	428
507	441	427
508	441	426
509	442	424
510	442	423
511	443	422
512	444	421
513	444	420
514	445	419
515	445	418
516	446	417
517	447	416
518	447	414
519	448	413
520	448	412
521	449	411
522	449	410
523	450	409
524	451	408
525	451	407
526	452	406
527	452	404
528	453	403
529	453	402
530	454	401
531	455	400
532	455	399
533	456	398
534	457	397
535	457	396
536	458	395
537	458	393
538	459	392
539	459	391
540	460	390
541	460	389
542	461	388
543	462	387
544	462	386
545	463	385
546	463	384
547	464	383
548	464	381
549	465	380
550	466	379
551	466	378
552	467	377
553	467	376
554	468	375
555	469	374
556	469	373
557	470	372
558	470	371
559	471	370
560	471	369
561	472	368
562	472	367
563	473	365
564	473	364
565	474	363
566	475	362
567	475	361
568	476	360
569	476	359
570	477	358
571	477	357
572	478	356
573	479	355
574	479	354
575	480	353
576	480	352
577	481	351
578	482	350
579	482	349
580	483	348
581	483	347
582	484	346
583	484	345
584	485	344
585	485	343
586	486	342
587	487	341
588	487	340
589	488	339
590	489	338
591	489	337
592	490	336
593	490	335
594	491	334
595	491	333
596	492	332
597	492	331
598	493	330
599	494	329
600	494	328
601	495	327
602	496	326
603	496	325
604	497	324
605	497	323
606	498	322
607	499	321
608	500	321
609	500	320
610	501	319
611	501	318
612	502	317
613	503	316
614	504	315
615	504	314
616	505	313
617	505	312
618	506	311
619	507	310
620	507	309
621	508	308
622	509	308
623	509	307
624	510	306
625	511	305
626	511	304
627	512	303
628	512	302
629	513	301
630	514	300
631	514	299
632	515	298
633	516	297
634	516	297
635	517	296
636	518	295
637	518	294
638	519	293
639	519	292
640	520	291
641	521	290
642	521	289
643	522	288
644	522	287
645	523	286
646	523	285
647	524	284
648	525	284
649	525	283
650	526	282
651	527	281
652	527	280
653	528	279
654	528	278
655	529	277
656	530	276
657	530	275
658	531	275
659	532	274
660	532	273
661	533	272
662	534	271
663	534	270
664	535	269
665	535	268
666	536	267
667	537	267
668	538	266
669	539	265
670	539	264
671	540	263
672	540	262
673	541	261
674	542	261
675	542	260
676	543	259
677	544	258
678	544	257
679	545	256
680	545	255
681	546	254
682	546	253
683	547	252
684	548	252
685	548	251
686	549	250
687	550	249
688	550	248
689	551	247
690	552	246
691	552	246
692	553	245
693	554	244
694	554	243
695	555	242
696	556	241
697	556	240
698	557	240
699	558	239
700	558	238
701	559	237
702	559	236
703	560	235
704	561	234
705	561	233
706	562	233
707	563	232
708	563	231
709	564	230
710	565	229
711	565	228
712	566	228
713	567	227
714	567	226
715	568	225
716	569	224
717	569	223
718	570	222
719	571	222
720	571	221
721	572	220
722	572	219
723	573	218
724	574	217
725	574	216
726	575	216
727	575	215
728	576	214
729	576	213
730	577	212
731	578	211
732	578	210
733	579	209
734	579	209
735	580	208
736	581	207
737	581	206
738	582	205
739	583	204
